dol,"plural indicator",AFF,People,"Only applies to people"
nun,"possessive marker",AFF,Misc,
krelt,pull,V,SimpVerb,
fe'ash,purple,ADJ,Colors,
kru,push,V,SimpVerb,
zist'es,rabbit,N,Animals,
den,rain,N,Nature,
ges'es,rat,N,Animals,
mol'ash,red,ADJ,Colors,
zav,right,ADJ,SimpAdjAdv,
bayath,river,N,Nature,
dak,road,N,CitCount,
sten'es,rooster,N,Animals,
an,root,N,Nature,
texnav,rope,N,Misc,
bemap,rotten,ADJ,SimpAdjAdv,
son,round,ADJ,SimpAdjAdv,
nan,rub,V,SimpVerb,
balaf,run,V,SimpVerb,
pir,salt,N,Misc,
dex,sand,N,Nature,
ref,say,V,SimpVerb,
kist,scratch,V,SimpVerb,
ath,sea,N,Nature,
ta,see,V,SimpVerb,
li,seed,N,Nature,
chak,seven,N,Numbers,
stem,sew,V,SimpVerb,
tarl,shadow,N,,
mashax,sharp,ADJ,SimpAdjAdv,
pos,short,ADJ,SimpAdjAdv,
sen,sibling,N,People,
sodu,sing,V,SimpVerb,
lansen,sister,N,People,
tek,sit,V,SimpVerb,
sap,six,N,Numbers,
letpith,skin,N,Body,
may,sky,N,Nature,
runzos,sleep,V,SimpVerb,
gist,small,ADJ,SimpAdjAdv,
baf,smell,V,SimpVerb,
raf,smoke,N,Nature,
renpar,smooth,ADJ,SimpAdjAdv,
tish'es,snake,N,Animals,
pest,snow,N,Nature,
takap,soil,N,Nature,
bikti,some,ADJ,SimpAdjAdv,
tuvdap'os,son,N,People,
ref,speak,N,People,"Also used when beginning a quotation."
sti,spit,N,Misc,
bin,split,V,SimpVerb,
chal,squeeze,V,SimpVerb,
narch,stab,V,SimpVerb,
bash,stand,V,SimpVerb,
pay,star,N,Nature,
kithik,stick,N,Nature,
gorgrem,stone,N,Nature,
turef,"stop speaking",PHR,People,"Also used when ending a quotation."
shet,straight,ADJ,SimpAdjAdv,
tun,street,N,CitCount,
fraxnor,suck,V,SimpVerb,
tretish,sun,N,Nature,
fe,sweet,ADJ,SimpAdjAdv,
mozarl,swell,V,SimpVerb,
tantrof,swim,V,SimpVerb,
pash,tail,N,Animals,
pakash,take,V,SimpVerb,
mil,ten,N,Numbers,"11 - milbik, 12 - mildath, etc.20 - dathmil, 21 - dathmilbik, etc."
zif,"ten thousand",N,Numbers,
af,that,DET,Pronouns,
af,that,P,Pronouns,
afen,there,N,Pronouns,
lisdol,they,N,,"3rd person plural, they, them"
tuay,thick,ADJ,SimpAdjAdv,
takpif,thigh,N,Body,
lar,thin,ADJ,SimpAdjAdv,
pitmi,think,V,,
em,this,P,Pronouns,
em,this,DET,Pronouns,
nof,thousand,N,Numbers,
goln,three,N,Numbers,
brap,throw,V,SimpVerb,
bil,tie,V,SimpVerb,
lak'es,tiger,N,Animals,
bask,tongue,N,Body,
o,tooth,N,Body,
zayleth,tree,N,Nature,"Literally ""bird home"""
gex,turn,V,SimpVerb,
dath,two,N,Numbers,
steth,vehicle,N,Transport,
palfaf,vomit,V,SimpVerb,
el,walk,V,SimpVerb,
zufel,warm,ADJ,SimpAdjAdv,
mun,wash,V,SimpVerb,
av,water,N,Nature,
fadol,we,P,Pronouns,
tri,wet,ADJ,SimpAdjAdv,
lui,what,P,Misc,
bal'ash,white,ADJ,Colors,
mes,who,P,Pronouns,
bir,whole,ADJ,Misc,"whole, entire"
shapul,wide,ADJ,SimpAdjAdv,
pik'os,wife,N,People,
fith,wind,N,Nature,
fir,wing,N,Animals,
tir,wipe,V,SimpVerb,
te,with,ADP,SimpAdjAdv,
lan'os,woman,N,People,
kithbax,wood,N,Nature,
chifnen,world,N,Nature,
fax,worm,N,Nature,
fift,year,N,Misc,
ne'ash,yellow,ADJ,Colors,
lifche,yesterday,N,Misc,
soldol,you,P,People,"2nd person plural"
sol,you,P,Pronouns,"2nd person."
